[Script generated by: Final Fantasy 3us Multi Editor, Coded by Lord J]
[FF3usME version: 6.8.0]
[File version: 1.00]
[Section: Monster Battle Scripts]

[script #0]    ; orig idx=0, "Guard", nb. bytes=6
F0 EE EE EF    ; Rand. spell: Battle or Battle or Special
FF             ; End first wave of attack
FF             ; End

[script #1]    ; orig idx=1, "Soldier", nb. bytes=11
EE             ; Battle
FF             ; End first wave of attack
FC 05 00 00    ; If monster has been attacked
F0 EF FE FE    ; Rand. spell: Special or Nothing or Nothing
FF             ; End

[script #2]    ; orig idx=2, "Templar", nb. bytes=11
EE             ; Battle
FF             ; End first wave of attack
FC 05 00 00    ; If monster has been attacked
F0 EF FE FE    ; Rand. spell: Special or Nothing or Nothing
FF             ; End

[script #3]    ; orig idx=3, "Ninja", nb. bytes=31
F0 51 52 EE    ; Rand. spell: Fire Skean or Water Edge or Battle
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 51 EE 53    ; Rand. spell: Fire Skean or Battle or Bolt Edge
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE 52 53    ; Rand. spell: Battle or Water Edge or Bolt Edge
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
FE             ; End If and reset targeting
FC 01 00 00    ; If monster has been attacked by cmd: Fight or Fight, will target attacker
F1 36          ; Targeting: self
F0 EF FE FE    ; Rand. spell: Special or Nothing or Nothing
FF             ; End

[script #4]    ; orig idx=4, "Samurai", nb. bytes=11
F0 EE EE FE    ; Rand. spell: Battle or Battle or Nothing
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE EE EF    ; Rand. spell: Battle or Battle or Special
FF             ; End first wave of attack
FF             ; End

[script #5]    ; orig idx=5, "Orog", nb. bytes=36
F0 EF EF FE    ; Rand. spell: Special or Special or Nothing
F0 EF FE FE    ; Rand. spell: Special or Nothing or Nothing
F0 EF FE FE    ; Rand. spell: Special or Nothing or Nothing
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
FE             ; End If and reset targeting
FC 01 02 02    ; If monster has been attacked by cmd: Magic or Magic, will target attacker
F0 08 FE FE    ; Rand. spell: <MB>Bio or Nothing or Nothing
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F0 EE FE FE    ; Rand. spell: Battle or Nothing or Nothing
FF             ; End

[script #6]    ; orig idx=6, "Mag Roader", nb. bytes=11
F0 EE EE EF    ; Rand. spell: Battle or Battle or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 00 05 05    ; Rand. spell: <MB>Fire or <MB>Fira or <MB>Fira
FF             ; End first wave of attack
FF             ; End

[script #7]    ; orig idx=7, "Retainer", nb. bytes=42
F0 EE EE FE    ; Rand. spell: Battle or Battle or Nothing
F0 EE EE FE    ; Rand. spell: Battle or Battle or Nothing
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE EE FE    ; Rand. spell: Battle or Battle or Nothing
F0 EE EE FE    ; Rand. spell: Battle or Battle or Nothing
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE EE FE    ; Rand. spell: Battle or Battle or Nothing
F0 EE EE FE    ; Rand. spell: Battle or Battle or Nothing
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 65 EE FE    ; Rand. spell: Wind Slash or Battle or Nothing
F0 65 EE FE    ; Rand. spell: Wind Slash or Battle or Nothing
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
EF             ; Special
FF             ; End

[script #8]    ; orig idx=8, "Hazer", nb. bytes=11
F0 04 FE FE    ; Rand. spell: <MB>Drain or Nothing or Nothing
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EF 04 FE    ; Rand. spell: Special or <MB>Drain or Nothing
FF             ; End first wave of attack
FF             ; End

[script #9]    ; orig idx=9, "Dahling", nb. bytes=24
F0 EF 1B FE    ; Rand. spell: Special or <MG>Mute or Nothing
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 06 07 FE    ; Rand. spell: <MB>Blizra or <MB>Thunra or Nothing
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F0 2E FE FE    ; Rand. spell: <MW>Cura or Nothing or Nothing
FF             ; End

[script #10]   ; orig idx=10, "Rain Man", nb. bytes=20
FC 13 01 01    ; If 1 monster(s) or less remain
